Inverter Model,Max. recommended PV power,Max. DC voltage,Start voltage,Nominal voltage,MPP voltage range,No. of MPP trackers,No. of PV stings per MPP tracker,Max. input curent per MPP tracker,Max. short-circuit curent per MPP tracker,AC nominal power,Max. AC apparent power,Nominal AC voltage(range),AC grid frequency(range),Max. output curent,Adjustable power factor,THDI,AC grid connection type,Max.efficiency,European efficiency,MPPT efficiency
MIC 1000TL-X,1400,500,50,180,50-500,1,1,13,16,1000,1000,230 (180-280),50/60 (45-55/55-65),4.8,0.8 leading...0.8 lagging,<3,Single phase,97.4,96.5,99.9
MIC 1500TL-X,2100,500,50,250,50-500,1,1,13,16,1500,1500,230 (180-280),50/60 (45-55/55-65),7.1,0.8 leading...0.8 lagging,<3,Single phase,97.4,97.0,99.9.
MIC 2000TL-X,2800,500,50,360,50-500,1,1,13,16,2000,2000,230 (180-280),50/60 (45-55/55-65),9.5,0.8 leading...0.8 lagging,<3,Single phase,97.4,97.0,99.9.
MIC 2500TL-X,3500,550,80,360,65-550,1,1,13,16,2500,2500,230 (180-280),50/60 (45-55/55-65),11.9,0.8 leading...0.8 lagging,<3,Single phase,97.6,97.0,99.9.
MIC 3000TL-X,4200,550,80,360,65-550,1,1,13,16,3000,3000,230 (180-280),50/60 (45-55/55-65),14.3,0.8 leading...0.8 lagging,<3,Single phase,97.6,97.1,99.9.
MIC 3300TL-X,4290,550,80,360,65-550,1,1,13,16,3300,3300,230 (180-280),50/60 (45-55/55-65),14.3,0.8 leading...0.8 lagging,<3,Single phase,97.6,97.1,99.9.
MIN 2500TL-X,3500,500,,360,80V-500V,,1,13.5,16.9,2500,2500,230 (180-280),50/60 (45-55Hz/55-65 Hz),11.3,0.8 leading...0.8 lagging,<3,Single phase,98.2,97.1,99.9
MIN 3000TL-X,4200,500,,360,80V-500V,,1,13.5,16.9,3000,3000,230 (180-280),50/60 (45-55Hz/55-65 Hz),13.6,0.8 leading...0.8 lagging,<3,Single phase,98.2,97.1,99.9
MIN 3600TL-X,5040,550,,360,80V-550V,,1,13.5,16.9,3600,3600,230 (180-280),50/60 (45-55Hz/55-65 Hz),16,0.8 leading...0.8 lagging,<3,Single phase,98.2,97.2,99.9
MIN 4200TL-X,5880,550,100,360,80V-550V,2,1,13.5,16.9,4200,4200,230 (180-280),50/60 (45-55Hz/55-65 Hz),19,0.8 leading...0.8 lagging,<3,Single phase,98.4,97.5,99.9
MIN 4600TL-X,6440,550,100,360,80V-550V,2,1,13.5,16.9,4600,4600,230 (180-280),50/60 (45-55Hz/55-65 Hz),20.9,0.8 leading...0.8 lagging,<3,Single phase,98.4,97.5,99.9
MIN 5000TL-X,7000,550,100,360,80V-550V,2,1,13.5,16.9,5000,5000,230 (180-280),50/60 (45-55Hz/55-65 Hz),22.7,0.8 leading...0.8 lagging,<3,Single phase,98.4,97.5,99.9
MIN 6000TL-X,8100,550,100,360,80V-550V,2,1,13.5,16.9,6000,6000,230 (180-280),50/60 (45-55Hz/55-65 Hz),27.2,0.8 leading...0.8 lagging,<3,Single phase,98.4,97.5,99.9


